Points,50m,55m,60m,50mH,55mH,60mH,200m,300m,400m,500m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,3000m,2 Miles,5000m,HJ,PV,LJ,TJ,SP,Hept.,Pent.
616,7.78,8.43,,9.13,,10.77,29.78,48.43,1:08.28,1:30.55,2:05.64,4:44.64,1:54.22,2:40.22,3:27.22,5:27.56,5:54.45,7:32.32,11:52.31,12:47.39,20:35.90,,3.58,4.21,9.0,10.48,3442.0,2640.0
615,,,9.03,,9.97,,29.79,48.46,1:08.32,1:30.59,2:05.71,4:44.80,1:54.28,2:40.30,3:27.32,5:27.73,5:54.64,7:32.56,11:52.70,12:47.81,20:36.60,,2.86,,8.99,10.47,3437.0,2636.0
614,,8.44,,9.14,8.83,10.78,29.8,48.48,1:08.35,1:30.64,2:05.78,4:44.97,1:54.34,2:40.39,3:27.43,5:27.91,5:54.83,7:32.80,11:53.10,12:48.24,20:37.30,,3.57,4.2,8.98,10.45,3432.0,2632.0
613,7.79,,7.71,,9.98,,29.82,48.51,1:08.39,1:30.69,2:05.85,4:45.13,1:54.41,2:40.47,3:27.54,5:28.08,5:55.02,7:33.05,11:53.50,12:48.67,20:38.00,,,,8.97,10.43,3427.0,2628.0
612,,,9.04,9.15,,10.79,29.83,48.53,1:08.43,1:30.74,2:05.92,4:45.29,1:54.47,2:40.56,3:27.65,5:28.25,5:55.21,7:33.29,11:53.89,12:49.11,20:38.71,1.37,2.85,4.19,8.96,10.42,3422.0,2624.0
611,,8.45,,8.12,9.99,10.8,29.85,48.56,1:08.46,1:30.79,2:05.99,4:45.45,1:54.53,2:40.64,3:27.76,5:28.42,5:55.39,7:33.54,11:54.29,12:49.54,20:39.41,,3.56,,8.95,10.4,3417.0,2621.0
610,7.8,,9.05,9.16,,,29.86,48.58,1:08.50,1:30.84,2:06.06,4:45.61,1:54.59,2:40.73,3:27.87,5:28.60,5:55.58,7:33.78,11:54.69,12:49.97,20:40.11,,,4.18,8.94,10.39,3412.0,2617.0
609,,7.22,7.72,8.13,10.0,10.81,29.88,48.61,1:08.53,1:30.89,2:06.13,4:45.78,1:54.65,2:40.81,3:27.97,5:28.77,5:55.77,7:34.03,11:55.09,12:50.40,20:40.82,,2.84,,8.93,10.37,3407.0,2613.0
608,6.68,8.46,,9.17,10.01,,29.89,48.63,1:08.57,1:30.94,2:06.20,4:45.94,1:54.72,2:40.90,3:28.08,5:28.94,5:55.96,7:34.27,11:55.49,12:50.83,20:41.53,,3.55,4.17,8.92,10.35,3402.0,2609.0
607,7.81,,9.06,,,10.82,29.91,48.66,1:08.60,1:30.99,2:06.27,4:46.10,1:54.78,2:40.98,3:28.19,5:29.12,5:56.15,7:34.52,11:55.88,12:51.26,20:42.23,,,,8.91,10.34,3397.0,2605.0
606,,8.47,,9.18,10.02,10.83,29.92,48.68,1:08.64,1:31.03,2:06.34,4:46.27,1:54.84,2:41.07,3:28.30,5:29.29,5:56.34,7:34.76,11:56.28,12:51.70,20:42.94,,2.83,4.16,8.9,10.32,3392.0,2601.0
605,7.82,7.23,9.07,,,,29.93,48.71,1:08.68,1:31.08,2:06.41,4:46.43,1:54.90,2:41.15,3:28.41,5:29.47,5:56.53,7:35.01,11:56.68,12:52.13,20:43.65,,,,8.89,10.3,3387.0,2597.0
604,,,,9.19,10.03,10.84,29.95,48.73,1:08.71,1:31.13,2:06.48,4:46.59,1:54.97,2:41.24,3:28.52,5:29.64,5:56.72,7:35.25,11:57.08,12:52.56,20:44.35,1.64,,4.15,8.87,10.29,3382.0,2593.0
603,6.69,8.48,,8.15,8.87,,29.96,48.76,1:08.75,1:31.18,2:06.55,4:46.76,1:55.03,2:41.32,3:28.63,5:29.81,5:56.91,7:35.50,11:57.48,12:53.00,20:45.06,,2.82,,8.86,10.27,3377.0,2589.0
602,7.83,,9.08,9.2,10.04,10.85,29.98,48.78,1:08.78,1:31.23,2:06.62,4:46.92,1:55.09,2:41.41,3:28.74,5:29.99,5:57.10,7:35.74,11:57.88,12:53.43,20:45.77,1.36,,5.48,8.85,10.26,3372.0,2586.0
601,,8.49,7.74,,,10.86,29.99,48.81,1:08.82,1:31.28,2:06.70,4:47.08,1:55.15,2:41.49,3:28.85,5:30.16,5:57.29,7:35.99,11:58.28,12:53.86,20:46.48,,3.52,4.14,8.84,10.24,3367.0,2582.0
600,,,9.09,9.21,10.05,,30.01,48.83,1:08.86,1:31.33,2:06.77,4:47.25,1:55.22,2:41.58,3:28.96,5:30.34,5:57.48,7:36.24,11:58.68,12:54.30,20:47.19,,2.81,,8.83,10.22,3362.0,2578.0
599,7.84,,,,10.06,10.87,30.02,48.86,1:08.89,1:31.38,2:06.84,4:47.41,1:55.28,2:41.66,3:29.07,5:30.51,5:57.67,7:36.48,11:59.09,12:54.73,20:47.90,,,4.13,8.82,10.21,3357.0,2574.0
598,6.7,8.5,,9.22,8.89,,30.04,48.88,1:08.93,1:31.43,2:06.91,4:47.58,1:55.34,2:41.75,3:29.18,5:30.69,5:57.86,7:36.73,11:59.49,12:55.17,20:48.61,,3.51,,8.81,10.19,3352.0,2570.0
597,,,9.1,8.17,10.07,10.88,30.05,48.91,1:08.96,1:31.48,2:06.98,4:47.74,1:55.40,2:41.83,3:29.29,5:30.86,5:58.05,7:36.98,11:59.89,12:55.61,20:49.33,,2.8,4.12,8.8,10.17,3347.0,2566.0
596,7.85,7.25,7.75,9.23,,10.89,30.07,48.93,1:09.00,1:31.53,2:07.05,4:47.90,1:55.47,2:41.92,3:29.40,5:31.04,5:58.24,7:37.23,12:00.29,12:56.04,20:50.04,,,,8.79,10.16,3342.0,2562.0
595,,8.51,9.11,,10.08,9.61,30.08,48.96,1:09.04,1:31.58,2:07.12,4:48.07,1:55.53,2:42.00,3:29.51,5:31.21,5:58.43,7:37.47,12:00.69,12:56.48,20:50.75,1.63,3.5,4.11,8.78,10.14,3337.0,2558.0
594,,,,9.24,,10.9,30.1,48.98,1:09.07,1:31.63,2:07.19,4:48.23,1:55.59,2:42.09,3:29.62,5:31.39,5:58.62,7:37.72,12:01.10,12:56.92,20:51.47,,2.79,,8.77,10.13,3331.0,2554.0
593,7.86,8.52,,,10.09,10.91,30.11,49.01,1:09.11,1:31.68,2:07.26,4:48.40,1:55.66,2:42.18,3:29.73,5:31.56,5:58.81,7:37.97,12:01.50,12:57.35,20:52.18,1.35,3.49,4.1,8.76,10.11,3326.0,2550.0
592,,7.26,9.12,9.25,10.1,9.62,30.12,49.03,1:09.14,1:31.73,2:07.34,4:48.56,1:55.72,2:42.26,3:29.84,5:31.74,5:59.00,7:38.22,12:01.90,12:57.79,20:52.90,,,,8.75,10.09,3321.0,2547.0
591,7.87,,,9.26,,10.92,30.14,49.06,1:09.18,1:31.77,2:07.41,4:48.73,1:55.78,2:42.35,3:29.95,5:31.92,5:59.19,7:38.46,12:02.31,12:58.23,20:53.61,,2.78,4.09,8.74,10.08,3316.0,2543.0
590,,8.53,9.13,,10.11,9.63,30.15,49.08,1:09.22,1:31.82,2:07.48,4:48.89,1:55.84,2:42.43,3:30.06,5:32.09,5:59.38,7:38.71,12:02.71,12:58.67,20:54.33,,3.48,,8.73,10.06,3311.0,2539.0
589,6.72,,,9.27,,10.93,30.17,49.11,1:09.25,1:31.87,2:07.55,4:49.06,1:55.91,2:42.52,3:30.17,5:32.27,5:59.57,7:38.96,12:03.12,12:59.11,20:55.05,,,4.08,8.72,10.04,3306.0,2535.0
588,7.88,8.54,9.14,,10.12,10.94,30.18,49.14,1:09.29,1:31.92,2:07.62,4:49.22,1:55.97,2:42.61,3:30.28,5:32.45,5:59.77,7:39.21,12:03.52,12:59.55,20:55.76,,2.77,,8.71,10.03,3301.0,2531.0
587,,,,9.28,8.93,9.64,30.2,49.16,1:09.33,1:31.97,2:07.69,4:49.39,1:56.03,2:42.69,3:30.39,5:32.62,5:59.96,7:39.46,12:03.93,12:59.99,20:56.48,1.62,,4.07,8.7,10.01,3296.0,2527.0
586,,,,8.21,10.13,10.95,30.21,49.19,1:09.36,1:32.02,2:07.77,4:49.56,1:56.10,2:42.78,3:30.50,5:32.80,6:00.15,7:39.71,12:04.33,13:00.43,20:57.20,,,,8.69,10.0,3291.0,2523.0
585,7.89,8.55,9.15,9.29,10.14,9.65,30.23,49.21,1:09.40,1:32.07,2:07.84,4:49.72,1:56.16,2:42.87,3:30.61,5:32.98,6:00.34,7:39.96,12:04.74,13:00.87,20:57.92,,2.76,4.06,8.68,9.98,3286.0,2519.0
584,6.73,,7.78,,8.94,10.96,30.24,49.24,1:09.43,1:32.12,2:07.91,4:49.89,1:56.22,2:42.95,3:30.72,5:33.15,6:00.54,7:40.21,12:05.14,13:01.31,20:58.64,1.34,,,8.67,9.96,3281.0,2515.0
583,,8.56,9.16,9.3,10.15,10.97,30.26,49.26,1:09.47,1:32.17,2:07.98,4:50.05,1:56.29,2:43.04,3:30.83,5:33.33,6:00.73,7:40.46,12:05.55,13:01.75,20:59.36,,,4.05,8.66,9.95,3276.0,2511.0
582,7.9,,,,8.95,,30.27,49.29,1:09.51,1:32.22,2:08.05,4:50.22,1:56.35,2:43.12,3:30.94,5:33.51,6:00.92,7:40.71,12:05.96,13:02.19,21:00.08,,2.75,,8.65,9.93,3271.0,2508.0
581,,,,9.31,10.16,10.98,30.29,49.31,1:09.54,1:32.27,2:08.13,4:50.39,1:56.41,2:43.21,3:31.05,5:33.68,6:01.11,7:40.96,12:06.37,13:02.63,21:00.80,,,5.38,8.64,9.92,3266.0,2504.0
580,,8.57,9.17,8.23,,10.99,30.3,49.34,1:09.58,1:32.32,2:08.20,4:50.55,1:56.48,2:43.30,3:31.17,5:33.86,6:01.31,7:41.21,12:06.77,13:03.07,21:01.53,,3.44,4.04,8.63,9.9,3261.0,2500.0
579,7.91,7.29,,9.32,10.17,,30.32,49.36,1:09.62,1:32.37,2:08.27,4:50.72,1:56.54,2:43.38,3:31.28,5:34.04,6:01.50,7:41.46,12:07.18,13:03.52,21:02.25,,2.74,5.37,8.62,9.88,3256.0,2496.0
578,,8.58,9.18,,10.18,11.0,30.33,49.39,1:09.65,1:32.42,2:08.34,4:50.89,1:56.61,2:43.47,3:31.39,5:34.22,6:01.69,7:41.71,12:07.59,13:03.96,21:02.97,1.61,,4.03,8.61,9.87,3251.0,2492.0
577,7.92,,,9.33,,,30.35,49.42,1:09.69,1:32.47,2:08.42,4:51.06,1:56.67,2:43.56,3:31.50,5:34.40,6:01.89,7:41.96,12:08.00,13:04.40,21:03.70,,3.43,5.36,8.6,9.85,3246.0,2488.0
576,,,9.19,,10.19,11.01,30.36,49.44,1:09.73,1:32.52,2:08.49,4:51.22,1:56.73,2:43.65,3:31.61,5:34.57,6:02.08,7:42.22,12:08.41,13:04.85,21:04.42,,2.73,4.02,8.59,9.83,3240.0,2484.0
575,6.75,8.59,,9.34,,11.02,30.38,49.47,1:09.76,1:32.58,2:08.56,4:51.39,1:56.80,2:43.73,3:31.72,5:34.75,6:02.28,7:42.47,12:08.82,13:05.29,21:05.15,,3.42,5.35,8.58,9.82,3235.0,2480.0
574,7.93,,,8.25,10.2,,30.39,49.49,1:09.80,1:32.63,2:08.63,4:51.56,1:56.86,2:43.82,3:31.84,5:34.93,6:02.47,7:42.72,12:09.23,13:05.73,21:05.87,1.33,,4.01,8.57,9.8,3230.0,2476.0
573,,8.6,9.2,9.35,,11.03,30.41,49.52,1:09.84,1:32.68,2:08.71,4:51.73,1:56.93,2:43.91,3:31.95,5:35.11,6:02.66,7:42.97,12:09.64,13:06.18,21:06.60,,2.72,5.34,8.56,9.79,3225.0,2472.0
572,,,7.81,8.26,10.21,11.04,30.42,49.54,1:09.87,1:32.73,2:08.78,4:51.89,1:56.99,2:44.00,3:32.06,5:35.29,6:02.86,7:43.23,12:10.05,13:06.62,21:07.33,,3.41,4.0,8.55,9.77,3220.0,2469.0
571,7.94,,9.21,9.36,10.22,9.71,30.44,49.57,1:09.91,1:32.78,2:08.85,4:52.06,1:57.05,2:44.08,3:32.17,5:35.47,6:03.05,7:43.48,12:10.46,13:07.07,21:08.06,,,,8.54,9.75,3215.0,2465.0
570,6.76,8.61,,,,11.05,30.45,49.6,1:09.95,1:32.83,2:08.92,4:52.23,1:57.12,2:44.17,3:32.28,5:35.65,6:03.25,7:43.73,12:10.87,13:07.52,21:08.79,1.6,2.71,3.99,8.53,9.74,3210.0,2461.0
569,,,,9.37,10.23,9.72,30.47,49.62,1:09.98,1:32.88,2:09.00,4:52.40,1:57.18,2:44.26,3:32.40,5:35.83,6:03.44,7:43.98,12:11.28,13:07.96,21:09.52,,3.4,,8.52,9.72,3205.0,2457.0
568,7.95,8.62,9.22,,9.0,11.06,30.48,49.65,1:10.02,1:32.93,2:09.07,4:52.57,1:57.25,2:44.35,3:32.51,5:36.01,6:03.64,7:44.24,12:11.69,13:08.41,21:10.25,,,3.98,8.51,9.7,3200.0,2453.0
567,,,,9.38,10.24,11.07,30.5,49.67,1:10.06,1:32.98,2:09.14,4:52.73,1:57.31,2:44.43,3:32.62,5:36.19,6:03.83,7:44.49,12:12.11,13:08.86,21:10.98,,2.7,,8.5,9.69,3195.0,2449.0
566,7.96,7.32,9.23,8.28,9.01,9.73,30.51,49.7,1:10.10,1:33.03,2:09.22,4:52.90,1:57.38,2:44.52,3:32.73,5:36.36,6:04.03,7:44.74,12:12.52,13:09.30,21:11.71,,,3.97,8.49,9.67,3190.0,2445.0
565,6.77,8.63,7.83,9.39,10.25,11.08,30.53,49.73,1:10.13,1:33.08,2:09.29,4:53.07,1:57.44,2:44.61,3:32.85,5:36.54,6:04.23,7:45.00,12:12.93,13:09.75,21:12.44,1.32,,,8.48,9.66,3185.0,2441.0
564,,,9.24,,10.26,11.09,30.54,49.75,1:10.17,1:33.13,2:09.36,4:53.24,1:57.50,2:44.70,3:32.96,5:36.73,6:04.42,7:45.25,12:13.35,13:10.20,21:13.17,,2.69,3.96,8.47,9.64,3180.0,2437.0
563,7.97,8.64,,9.4,9.02,,30.56,49.78,1:10.21,1:33.18,2:09.44,4:53.41,1:57.57,2:44.78,3:33.07,5:36.91,6:04.62,7:45.51,12:13.76,13:10.65,21:13.91,,,,8.46,9.62,3175.0,2433.0
562,,7.33,,9.41,10.27,11.1,30.57,49.8,1:10.24,1:33.23,2:09.51,4:53.58,1:57.63,2:44.87,3:33.19,5:37.09,6:04.81,7:45.76,12:14.17,13:11.10,21:14.64,,3.37,3.95,8.45,9.61,3170.0,2430.0
561,6.78,,9.25,,9.03,,30.59,49.83,1:10.28,1:33.28,2:09.58,4:53.75,1:57.70,2:44.96,3:33.30,5:37.27,6:05.01,7:46.02,12:14.59,13:11.55,21:15.37,1.59,2.68,,8.44,9.59,3165.0,2426.0
560,7.98,8.65,,9.42,10.28,11.11,30.6,49.86,1:10.32,1:33.34,2:09.66,4:53.92,1:57.76,2:45.05,3:33.41,5:37.45,6:05.21,7:46.27,12:15.00,13:12.00,21:16.11,,,3.94,8.42,9.57,3159.0,2422.0
559,,,9.26,,,11.12,30.62,49.88,1:10.36,1:33.39,2:09.73,4:54.09,1:57.83,2:45.14,3:33.53,5:37.63,6:05.40,7:46.53,12:15.42,13:12.45,21:16.85,,3.36,,8.41,9.56,3154.0,2418.0
558,,8.66,,9.43,10.29,,30.63,49.91,1:10.39,1:33.44,2:09.80,4:54.26,1:57.89,2:45.23,3:33.64,5:37.81,6:05.60,7:46.78,12:15.84,13:12.90,21:17.58,,2.67,5.27,8.4,9.54,3149.0,2414.0
557,7.99,,9.27,,10.3,11.13,30.65,49.93,1:10.43,1:33.49,2:09.88,4:54.43,1:57.96,2:45.31,3:33.75,5:37.99,6:05.80,7:47.04,12:16.25,13:13.35,21:18.32,,,3.93,8.39,9.53,3144.0,2410.0
556,6.79,,,9.44,,11.14,30.66,49.96,1:10.47,1:33.54,2:09.95,4:54.60,1:58.02,2:45.40,3:33.87,5:38.17,6:06.00,7:47.30,12:16.67,13:13.80,21:19.06,,3.35,5.26,8.38,9.51,3139.0,2406.0
555,8.0,8.67,,8.32,10.31,9.78,30.68,49.99,1:10.50,1:33.59,2:10.02,4:54.77,1:58.09,2:45.49,3:33.98,5:38.35,6:06.19,7:47.55,12:17.08,13:14.26,21:19.80,1.31,2.66,3.92,8.37,9.49,3134.0,2402.0
554,,7.35,9.28,9.45,,11.15,30.69,50.01,1:10.54,1:33.64,2:10.10,4:54.94,1:58.15,2:45.58,3:34.10,5:38.54,6:06.39,7:47.81,12:17.50,13:14.71,21:20.53,,3.34,5.25,8.36,9.48,3129.0,2398.0
553,,8.68,7.86,,10.32,11.16,30.71,50.04,1:10.58,1:33.69,2:10.17,4:55.11,1:58.22,2:45.67,3:34.21,5:38.72,6:06.59,7:48.06,12:17.92,13:15.16,21:21.27,1.58,,3.91,8.35,9.46,3124.0,2394.0
552,8.01,,9.29,9.46,10.33,9.79,30.72,50.06,1:10.62,1:33.75,2:10.25,4:55.28,1:58.28,2:45.76,3:34.32,5:38.90,6:06.79,7:48.32,12:18.34,13:15.61,21:22.02,,2.65,5.24,8.34,9.44,3119.0,2390.0
551,6.8,,,,,11.17,30.74,50.09,1:10.65,1:33.80,2:10.32,4:55.45,1:58.35,2:45.85,3:34.44,5:39.08,6:06.98,7:48.58,12:18.76,13:16.07,21:22.76,,3.33,3.9,8.33,9.43,3114.0,2387.0
550,,8.69,9.3,9.47,10.34,9.8,30.75,50.12,1:10.69,1:33.85,2:10.39,4:55.62,1:58.41,2:45.94,3:34.55,5:39.26,6:07.18,7:48.84,12:19.17,13:16.52,21:23.50,,2.64,5.23,8.32,9.41,3109.0,2383.0
549,8.02,7.36,7.87,8.34,,11.18,30.77,50.14,1:10.73,1:33.90,2:10.47,4:55.79,1:58.48,2:46.03,3:34.67,5:39.45,6:07.38,7:49.09,12:19.59,13:16.98,21:24.24,,3.32,3.89,8.31,9.4,3104.0,2379.0
548,,8.7,,9.48,10.35,11.19,30.78,50.17,1:10.77,1:33.95,2:10.54,4:55.97,1:58.55,2:46.12,3:34.78,5:39.63,6:07.58,7:49.35,12:20.01,13:17.43,21:24.98,,,5.22,8.3,9.38,3099.0,2375.0
547,8.03,,9.31,8.35,10.36,,30.8,50.2,1:10.80,1:34.00,2:10.62,4:56.14,1:58.61,2:46.20,3:34.90,5:39.81,6:07.78,7:49.61,12:20.43,13:17.89,21:25.73,,2.63,3.88,8.29,9.36,3094.0,2371.0
546,,,,9.49,,11.2,30.81,50.22,1:10.84,1:34.05,2:10.69,4:56.31,1:58.68,2:46.29,3:35.01,5:40.00,6:07.98,7:49.87,12:20.85,13:18.34,21:26.47,1.3,3.31,5.21,8.28,9.35,3088.0,2367.0
545,,8.71,9.32,,10.37,11.21,30.83,50.25,1:10.88,1:34.11,2:10.77,4:56.48,1:58.74,2:46.38,3:35.13,5:40.18,6:08.18,7:50.13,12:21.27,13:18.80,21:27.22,,,3.87,8.27,9.33,3083.0,2363.0
544,8.04,,,9.5,,,30.84,50.27,1:10.92,1:34.16,2:10.84,4:56.65,1:58.81,2:46.47,3:35.24,5:40.36,6:08.38,7:50.39,12:21.70,13:19.26,21:27.96,1.57,2.62,5.2,8.26,9.31,3078.0,2359.0
543,,8.72,9.33,9.51,10.38,11.22,30.86,50.3,1:10.96,1:34.21,2:10.92,4:56.83,1:58.87,2:46.56,3:35.36,5:40.55,6:08.58,7:50.65,12:22.12,13:19.71,21:28.71,,3.3,3.86,8.25,9.3,3073.0,2355.0
542,6.82,,,,,11.23,30.87,50.33,1:10.99,1:34.26,2:10.99,4:57.00,1:58.94,2:46.65,3:35.47,5:40.73,6:08.78,7:50.90,12:22.54,13:20.17,21:29.46,,,,8.24,9.28,3068.0,2351.0
541,8.05,7.38,7.89,9.52,10.39,9.84,30.89,50.35,1:11.03,1:34.31,2:11.07,4:57.17,1:59.01,2:46.74,3:35.59,5:40.91,6:08.98,7:51.16,12:22.96,13:20.63,21:30.21,,2.61,3.85,8.23,9.27,3063.0,2347.0
540,,8.73,9.34,,10.4,11.24,30.9,50.38,1:11.07,1:34.37,2:11.14,4:57.34,1:59.07,2:46.83,3:35.70,5:41.10,6:09.18,7:51.42,12:23.38,13:21.09,21:30.96,,,,8.22,9.25,3058.0,2343.0
539,8.06,,,9.53,,11.25,30.92,50.41,1:11.11,1:34.42,2:11.21,4:57.52,1:59.14,2:46.92,3:35.82,5:41.28,6:09.38,7:51.68,12:23.81,13:21.55,21:31.70,,,3.84,8.21,9.23,3053.0,2340.0
538,6.83,8.74,9.35,,10.41,,30.94,50.43,1:11.14,1:34.47,2:11.29,4:57.69,1:59.20,2:47.01,3:35.93,5:41.47,6:09.58,7:51.94,12:24.23,13:22.00,21:32.45,,2.6,,8.2,9.22,3048.0,2336.0
537,,7.39,7.9,9.54,,11.26,30.95,50.46,1:11.18,1:34.52,2:11.36,4:57.86,1:59.27,2:47.10,3:36.05,5:41.65,6:09.78,7:52.21,12:24.65,13:22.46,21:33.21,1.29,,3.83,8.19,9.2,3043.0,2332.0
536,8.07,,9.36,8.39,10.42,9.86,30.97,50.49,1:11.22,1:34.57,2:11.44,4:58.04,1:59.34,2:47.19,3:36.16,5:41.83,6:09.98,7:52.47,12:25.08,13:22.92,21:33.96,1.56,3.27,,8.18,9.18,3038.0,2328.0
535,,8.75,,9.55,10.43,11.27,30.98,50.51,1:11.26,1:34.63,2:11.52,4:58.21,1:59.40,2:47.28,3:36.28,5:42.02,6:10.18,7:52.73,12:25.50,13:23.38,21:34.71,,2.59,3.82,8.17,9.17,3033.0,2324.0
534,,,,,,11.28,31.0,50.54,1:11.30,1:34.68,2:11.59,4:58.38,1:59.47,2:47.37,3:36.40,5:42.21,6:10.38,7:52.99,12:25.93,13:23.85,21:35.46,,,,8.16,9.15,3028.0,2320.0
533,8.08,8.76,9.37,9.56,10.44,,31.01,50.57,1:11.34,1:34.73,2:11.67,4:58.56,1:59.53,2:47.46,3:36.51,5:42.39,6:10.58,7:53.25,12:26.35,13:24.31,21:36.22,,3.26,5.15,8.15,9.14,3023.0,2316.0
532,,,,,9.14,11.29,31.03,50.59,1:11.37,1:34.78,2:11.74,4:58.73,1:59.60,2:47.55,3:36.63,5:42.58,6:10.78,7:53.51,12:26.78,13:24.77,21:36.97,,2.58,3.81,8.14,9.12,3017.0,2312.0
531,8.09,8.77,9.38,9.57,10.45,11.3,31.04,50.62,1:11.41,1:34.84,2:11.82,4:58.91,1:59.67,2:47.65,3:36.74,5:42.76,6:10.99,7:53.77,12:27.20,13:25.23,21:37.73,,,5.14,8.13,9.1,3012.0,2308.0
530,,,7.92,9.58,10.46,9.89,31.06,50.65,1:11.45,1:34.89,2:11.89,4:59.08,1:59.73,2:47.74,3:36.86,5:42.95,6:11.19,7:54.04,12:27.63,13:25.69,21:38.48,,3.25,3.8,8.12,9.09,3007.0,2304.0
529,6.85,7.41,9.39,,,11.31,31.07,50.67,1:11.49,1:34.94,2:11.97,4:59.25,1:59.80,2:47.83,3:36.98,5:43.13,6:11.39,7:54.30,12:28.06,13:26.16,21:39.24,,2.57,5.13,8.11,9.07,3002.0,2300.0
528,8.1,8.78,,9.59,10.47,11.32,31.09,50.7,1:11.53,1:34.99,2:12.04,4:59.43,1:59.87,2:47.92,3:37.09,5:43.32,6:11.59,7:54.56,12:28.49,13:26.62,21:39.99,,3.24,3.79,8.1,9.06,2997.0,2296.0
527,,,,,9.16,9.9,31.11,50.73,1:11.56,1:35.05,2:12.12,4:59.60,1:59.93,2:48.01,3:37.21,5:43.51,6:11.80,7:54.82,12:28.91,13:27.08,21:40.75,1.28,,5.12,8.09,9.04,2992.0,2293.0
526,,8.79,9.4,9.6,10.48,11.33,31.12,50.75,1:11.60,1:35.10,2:12.20,4:59.78,2:00.00,2:48.10,3:37.33,5:43.69,6:12.00,7:55.09,12:29.34,13:27.55,21:41.51,,2.56,3.78,8.08,9.02,2987.0,2289.0
525,8.11,7.42,,8.43,10.49,11.34,31.14,50.78,1:11.64,1:35.15,2:12.27,4:59.95,2:00.07,2:48.19,3:37.45,5:43.88,6:12.20,7:55.35,12:29.77,13:28.01,21:42.27,,3.23,5.11,8.07,9.01,2982.0,2285.0
524,6.86,,9.41,9.61,,,31.15,50.81,1:11.68,1:35.20,2:12.35,5:00.13,2:00.13,2:48.28,3:37.56,5:44.07,6:12.41,7:55.62,12:30.20,13:28.48,21:43.03,,,3.77,8.06,8.99,2977.0,2281.0
523,8.12,8.8,,,10.5,11.35,31.17,50.83,1:11.72,1:35.26,2:12.42,5:00.31,2:00.20,2:48.37,3:37.68,5:44.25,6:12.61,7:55.88,12:30.63,13:28.94,21:43.79,,2.55,5.1,8.05,8.97,2972.0,2277.0
522,,,9.42,9.62,9.18,11.36,31.18,50.86,1:11.76,1:35.31,2:12.50,5:00.48,2:00.27,2:48.47,3:37.80,5:44.44,6:12.81,7:56.14,12:31.06,13:29.41,21:44.55,,,3.76,8.03,8.96,2967.0,2273.0
521,,8.81,,,10.51,9.93,31.2,50.89,1:11.80,1:35.36,2:12.58,5:00.66,2:00.34,2:48.56,3:37.91,5:44.63,6:13.02,7:56.41,12:31.49,13:29.88,21:45.32,,,5.09,8.02,8.94,2962.0,2269.0
520,8.13,,9.43,9.63,10.52,11.37,31.22,50.92,1:11.83,1:35.41,2:12.65,5:00.83,2:00.40,2:48.65,3:38.03,5:44.81,6:13.22,7:56.67,12:31.92,13:30.34,21:46.08,,2.54,3.75,8.01,8.93,2956.0,2265.0
519,,,,,,11.38,31.23,50.94,1:11.87,1:35.47,2:12.73,5:01.01,2:00.47,2:48.74,3:38.15,5:45.00,6:13.42,7:56.94,12:32.35,13:30.81,21:46.84,1.54,,5.08,8.0,8.91,2951.0,2261.0
518,,8.82,7.95,9.64,10.53,,31.25,50.97,1:11.91,1:35.52,2:12.80,5:01.19,2:00.54,2:48.83,3:38.27,5:45.19,6:13.63,7:57.20,12:32.78,13:31.28,21:47.61,1.27,,3.74,7.99,8.89,2946.0,2257.0
517,8.14,7.44,9.44,9.65,9.2,11.39,31.26,51.0,1:11.95,1:35.57,2:12.88,5:01.36,2:00.61,2:48.92,3:38.39,5:45.38,6:13.83,7:57.47,12:33.21,13:31.75,21:48.37,,2.53,5.07,7.98,8.88,2941.0,2253.0
516,,8.83,,,10.54,11.4,31.28,51.02,1:11.99,1:35.63,2:12.96,5:01.54,2:00.67,2:49.02,3:38.50,5:45.57,6:14.04,7:57.73,12:33.65,13:32.22,21:49.14,,,3.73,7.97,8.86,2936.0,2249.0
515,8.15,,9.45,9.66,10.55,,31.29,51.05,1:12.03,1:35.68,2:13.03,5:01.72,2:00.74,2:49.11,3:38.62,5:45.76,6:14.24,7:58.00,12:34.08,13:32.69,21:49.90,,3.19,5.06,7.96,8.84,2931.0,2245.0
514,,8.84,,8.47,,11.41,31.31,51.08,1:12.07,1:35.73,2:13.11,5:01.89,2:00.81,2:49.20,3:38.74,5:45.94,6:14.45,7:58.27,12:34.51,13:33.16,21:50.67,,2.52,3.72,7.95,8.83,2926.0,2242.0
513,,7.45,9.46,9.67,10.56,11.42,31.33,51.1,1:12.11,1:35.79,2:13.19,5:02.07,2:00.88,2:49.29,3:38.86,5:46.13,6:14.65,7:58.53,12:34.95,13:33.63,21:51.44,,,5.05,7.94,8.81,2921.0,2238.0
512,8.16,,,8.48,9.22,9.97,31.34,51.13,1:12.14,1:35.84,2:13.26,5:02.25,2:00.94,2:49.39,3:38.98,5:46.32,6:14.86,7:58.80,12:35.38,13:34.10,21:52.21,,3.18,3.71,7.93,8.8,2916.0,2234.0
511,6.89,8.85,7.97,9.68,10.57,11.43,31.36,51.16,1:12.18,1:35.89,2:13.34,5:02.42,2:01.01,2:49.48,3:39.10,5:46.51,6:15.07,7:59.07,12:35.81,13:34.57,21:52.98,,2.51,,7.92,8.78,2911.0,2230.0
